log_downloads,maintainer_count,age_days,days_since_update,vuln_count,malware_reports,verified_flags,has_install_script,install_script_kb,has_preinstall,has_postinstall,maintainer_change_count,maintainer_velocity,domain_age_days,executable_binary_count,network_code_files,log_total_files,entropy_max_file,dependency_delta,log_version_count,days_between_versions,log_stars,log_forks,namespace_age_days,download_star_anomaly,label
18.468234,1.000000,2914.941070,1.096940,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.262680,29.164414,0.000000,0.000000,2914.941070,0.000000,0.000000
20.138594,6.000000,4905.187538,0.533748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.226841,0.749013,0.000000,0.000000,4905.187538,0.000000,0.000000
14.828876,6.000000,3236.869221,297.001252,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.079442,263.665920,0.000000,0.000000,3236.869221,0.000000,1.000000
19.155159,1.000000,3446.824590,33.270266,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.770685,22.259638,0.000000,0.000000,3446.824590,0.000000,0.000000
20.288389,1.000000,4506.005891,4.906956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.609472,69.421505,0.000000,0.000000,4506.005891,0.000000,0.000000
17.570886,1.000000,2853.130136,30.544660,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.143135,149.271505,0.000000,0.000000,2853.130136,0.000000,0.000000
18.447006,2.000000,3195.978457,44.854140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.743003,10.492796,0.000000,0.000000,3195.978457,0.000000,0.000000
17.831169,3.000000,5232.872772,1.534653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.442418,6.867852,0.000000,0.000000,5232.872772,0.000000,0.000000
19.133586,1.000000,6138.960033,26.298286,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.220356,15.747215,0.000000,0.000000,6138.960033,0.000000,0.000000
20.452488,3.000000,5232.093550,58.128382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,4.025352,365.000000,0.000000,0.000000,5232.093550,0.000000,0.000000
12.222389,1.000000,4675.256944,1445.226537,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.056246,109.022379,0.000000,0.000000,4675.256944,0.000000,0.000000
18.599984,6.000000,4049.818818,3.428251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.652489,30.703588,0.000000,0.000000,4049.818818,0.000000,0.000000
